ExtendedProperties,StudentID,ProgramCode,ProgramDescription,EligibilityStartDate,EligibilityEndDate,ParticipationStartDate,ParticipationEndDate,AcademicYear,ExtractedAt
[],44757,122,NCLB Title I Part A Basic Targeted,2021-12-06T00:00:00,2022-06-03T00:00:00,2021-12-06T00:00:00,2022-06-03T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44757,122,NCLB Title I Part A Basic Targeted,,,2022-09-29T00:00:00,2023-06-02T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44757,122,NCLB Title I Part A Basic Targeted,,,2022-11-28T00:00:00,2023-02-17T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44757,122,NCLB Title I Part A Basic Targeted,,,2023-09-18T00:00:00,2023-11-16T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44757,122,NCLB Title I Part A Basic Targeted,,,2024-01-24T00:00:00,2024-04-19T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44759,182,NSLP Reduced-Price Meal Program,2023-08-01T00:00:00,2023-08-01T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44759,122,NCLB Title I Part A Basic Targeted,,,2024-01-24T00:00:00,2024-04-19T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44760,181,NSLP Free Meal Program,2023-08-16T00:00:00,2024-04-17T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44767,122,NCLB Title I Part A Basic Targeted,,,2023-09-18T00:00:00,2023-11-16T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44775,122,NCLB Title I Part A Basic Targeted,,,2024-01-24T00:00:00,2024-04-19T00:00:00,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DwellingTypeCode', 'Value': '120'}, {'Name': 'DwellingTypeCodeDescription', 'Value': 'Temporarily Doubled Up'}, {'Name': 'RunawayIndicator', 'Value': 'N'}, {'Name': 'UnaccompaniedYouthIndicator', 'Value': 'N'}]",44779,191,Homeless Program,2019-04-01T00:00:00,2019-06-13T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44796,122,NCLB Title I Part A Basic Targeted,,,2023-09-18T00:00:00,2023-11-16T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44796,122,NCLB Title I Part A Basic Targeted,,,2024-01-24T00:00:00,2024-04-19T00:00:00,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DisabilityCode', 'Value': '240'}, {'Name': 'DisabilityCodeDescription', 'Value': 'Speech or Language Impairment (SLI)'}, {'Name': 'DisabilityCode2', 'Value': ''}, {'Name': 'DisabilityCode2Description', 'Value': ''}, {'Name': 'ParentalConsentDate', 'Value': '0001-01-01T00:00:00'}, {'Name': 'ResidenceStatusCode', 'Value': ''}]",44832,144,Special Education,2022-02-15T00:00:00,2024-03-13T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DisabilityCode', 'Value': '290'}, {'Name': 'DisabilityCodeDescription', 'Value': 'Specific Learning Disability (SLD)'}, {'Name': 'DisabilityCode2', 'Value': ''}, {'Name': 'DisabilityCode2Description', 'Value': ''}, {'Name': 'ParentalConsentDate', 'Value': '0001-01-01T00:00:00'}, {'Name': 'ResidenceStatusCode', 'Value': ''}]",44863,144,Special Education,2021-02-03T00:00:00,,,,2023-2024,2026-02-22T00:20:49.056312
[],44863,182,NSLP Reduced-Price Meal Program,2019-10-10T00:00:00,2020-06-11T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44863,181,NSLP Free Meal Program,2020-09-02T00:00:00,2021-06-10T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44863,181,NSLP Free Meal Program,2021-08-19T00:00:00,2022-06-09T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44863,181,NSLP Free Meal Program,2022-08-18T00:00:00,2023-06-08T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44863,182,NSLP Reduced-Price Meal Program,2022-08-11T00:00:00,2022-08-11T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44863,182,NSLP Reduced-Price Meal Program,2023-08-01T00:00:00,2023-08-01T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44863,181,NSLP Free Meal Program,2023-07-03T00:00:00,2024-06-13T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DwellingTypeCode', 'Value': '120'}, {'Name': 'DwellingTypeCodeDescription', 'Value': 'Temporarily Doubled Up'}, {'Name': 'RunawayIndicator', 'Value': 'N'}, {'Name': 'UnaccompaniedYouthIndicator', 'Value': 'N'}]",44863,191,Homeless Program,2019-08-22T00:00:00,2020-06-11T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44863,122,NCLB Title I Part A Basic Targeted,,,2020-01-21T00:00:00,2020-06-08T00:00:00,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DwellingTypeCode', 'Value': '120'}, {'Name': 'DwellingTypeCodeDescription', 'Value': 'Temporarily Doubled Up'}, {'Name': 'RunawayIndicator', 'Value': 'N'}, {'Name': 'UnaccompaniedYouthIndicator', 'Value': 'N'}]",44863,191,Homeless Program,2020-08-24T00:00:00,2021-06-10T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DwellingTypeCode', 'Value': '120'}, {'Name': 'DwellingTypeCodeDescription', 'Value': 'Temporarily Doubled Up'}, {'Name': 'RunawayIndicator', 'Value': 'N'}, {'Name': 'UnaccompaniedYouthIndicator', 'Value': 'N'}]",44863,191,Homeless Program,2021-08-19T00:00:00,2022-06-09T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44863,305,LIP - Structured English Immersion Program or other predominantly English Language Instructional Models,2019-08-23T00:00:00,2023-08-22T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44943,182,NSLP Reduced-Price Meal Program,2018-09-05T00:00:00,2019-06-13T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44943,181,NSLP Free Meal Program,2019-08-27T00:00:00,2019-12-20T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44943,182,NSLP Reduced-Price Meal Program,2020-01-06T00:00:00,2020-06-11T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44943,181,NSLP Free Meal Program,2023-08-09T00:00:00,2023-08-09T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44943,305,LIP - Structured English Immersion Program or other predominantly English Language Instructional Models,2019-08-23T00:00:00,2023-12-15T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44943,122,NCLB Title I Part A Basic Targeted,2022-03-22T00:00:00,2022-06-03T00:00:00,2022-03-22T00:00:00,2022-06-03T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44943,122,NCLB Title I Part A Basic Targeted,,,2022-11-28T00:00:00,2023-02-17T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44943,122,NCLB Title I Part A Basic Targeted,,,2024-01-24T00:00:00,2024-04-19T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44944,122,NCLB Title I Part A Basic Targeted,,,2018-10-01T00:00:00,2019-05-23T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44944,305,LIP - Structured English Immersion Program or other predominantly English Language Instructional Models,2019-08-23T00:00:00,2022-12-12T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44944,122,NCLB Title I Part A Basic Targeted,,,2023-09-18T00:00:00,2023-11-16T00:00:00,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DisabilityCode', 'Value': '240'}, {'Name': 'DisabilityCodeDescription', 'Value': 'Speech or Language Impairment (SLI)'}, {'Name': 'DisabilityCode2', 'Value': ''}, {'Name': 'DisabilityCode2Description', 'Value': ''}, {'Name': 'ParentalConsentDate', 'Value': '0001-01-01T00:00:00'}, {'Name': 'ResidenceStatusCode', 'Value': ''}]",44956,144,Special Education,2020-03-02T00:00:00,2023-03-28T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44956,181,NSLP Free Meal Program,2018-08-28T00:00:00,2019-06-13T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44956,181,NSLP Free Meal Program,2019-08-22T00:00:00,2020-06-11T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44956,181,NSLP Free Meal Program,2020-08-24T00:00:00,2021-06-10T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44956,181,NSLP Free Meal Program,2021-08-19T00:00:00,2022-06-09T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44956,181,NSLP Free Meal Program,2022-08-18T00:00:00,2023-06-08T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44956,181,NSLP Free Meal Program,2022-08-12T00:00:00,2022-08-12T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44956,181,NSLP Free Meal Program,2023-08-03T00:00:00,2023-08-03T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44956,181,NSLP Free Meal Program,2023-07-03T00:00:00,2024-06-13T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44956,122,NCLB Title I Part A Basic Targeted,,,2023-05-08T00:00:00,2023-06-02T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44956,122,NCLB Title I Part A Basic Targeted,,,2023-09-18T00:00:00,2023-11-12T00:00:00,2023-2024,2026-02-22T00:20:49.056312
[],44956,122,NCLB Title I Part A Basic Targeted,,,2024-01-24T00:00:00,2024-04-19T00:00:00,2023-2024,2026-02-22T00:20:49.056312
"[{'Name': 'DisabilityCode', 'Value': '240'}, {'Name': 'DisabilityCodeDescription', 'Value': 'Speech or Language Impairment (SLI)'}, {'Name': 'DisabilityCode2', 'Value': ''}, {'Name': 'DisabilityCode2Description', 'Value': ''}, {'Name': 'ParentalConsentDate', 'Value': '0001-01-01T00:00:00'}, {'Name': 'ResidenceStatusCode', 'Value': ''}]",44987,144,Special Education,2021-05-18T00:00:00,2024-05-01T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44987,181,NSLP Free Meal Program,2018-08-30T00:00:00,2019-06-13T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
[],44987,181,NSLP Free Meal Program,2019-08-26T00:00:00,2020-06-11T00:00:00,,,2023-2024,2026-02-22T00:20:49.056312
