local_id,state_id
42886,2491812900
43261,6909745634
45301,5685818848
43186,3612942652
43145,8051883377
43177,6296907238
45124,5980031842
43724,6965992023
43789,6229498937
43669,7552727381
42264,8643301806
42874,1752017073
46044,3116337085
45300,7334702820
43113,8048464018
43407,7019805161
43278,5576418393
43279,1608383406
43410,7647463642
42904,1562991851
43363,7145589352
43262,8173313245
45326,6445785767
43126,6907308311
43264,6279956763
44185,1748859581
43239,4480609061
42845,4560724203
43157,6012825186
46042,8912760783
42709,4055848705
42774,7029988727
45468,7616035146
42320,3908308105
43133,7064616892
44515,2618979647
43319,7304956345
43587,4395079315
46124,2039920020
43493,4656939761
42704,3589441121
43613,7264320671
43350,3492212760
43352,2395737753
44997,7287578054
43282,9084554054
44936,5958775956
44972,8108899806
46105,1335711857
42930,7318298790
43251,3562237710
42885,3026054766
45680,1909907212
44254,7336124425
44255,3979551870
43614,8664907746
42790,3997313921
45440,3278139647
45758,2447797048
44526,4414648680
45747,1641131605
42412,2122706632
43645,7138200690
43325,1266097274
45416,8720484805
45407,7307170547
43130,4330438312
43089,6458150057
42924,9405051232
43713,9342018562
45833,4623564284
43286,6586636140
43268,9451133493
42785,6562962540
43247,7141432476
45248,2130919661
44574,1481757658
44674,9663071826
43752,4118869326
45713,1525579806
43563,5217186295
42950,6434284061
43421,6479668258
44538,3203420174
42890,1250130284
43615,3176106006
43297,5230929420
43567,9697520755
43269,7132778730
42942,6322865771
42943,7983508533
42673,4570030923
43977,2130307806
44146,7085007584
42868,4518831598
45455,8499201355
43437,7680022481
45068,4477530677
46047,9683489924
43270,1614423712
43659,2358241402
44112,3676749647
44113,6104779380
42779,2911092557
43105,9052410148
44171,7377862803
44955,2233683933
45358,6118429083
43470,6712415605
45365,3397298400
42823,5966587350
42813,8280994048
42688,4089197654
43548,4396885233
42460,2141537725
43381,9278644217
42493,9037852007
42714,8280776215
43465,6580692966
43616,5685086327
43723,4347161403
42891,1939411620
43671,5920628130
42724,4591231132
44560,1529377828
42727,5156474940
43215,4246927560
42843,5120748292
42893,9380700235
42689,9326823208
42895,9723158278
42796,4589350841
43455,1230711952
43617,7472291916
43228,2635759181
42772,1372507018
43855,4460449612
43619,1121812795
46033,9670877223
42894,6608300894
43769,6499063563
43274,9130319717
43501,8397559440
43711,8953011472
43292,7251696268
43231,9461913467
43288,9344877581
44952,9273577083
43071,4278536728
43530,8995124237
42766,9008938945
43275,5660622494
42741,5373932242
42806,1417718485
43210,4479235312
43106,9941854151
43622,5752464502
42824,3639675093
43552,2632275090
43858,9778568850
42756,1964578050
43440,3964050360
43694,5710478490
43315,4939465421
42795,4924544567
43285,3205588994
43657,5560058812
44539,4613217434
43338,3038009850
42674,4189378331
45667,2150704708
43731,6612268274
42897,4320903780
43677,3300473531
42898,3044380140
43423,5907979901
42900,7485860507
43280,3625370370
45872,1389150011
43714,4781042976
42762,7596186816
43204,9262951942
42968,5380630841
45992,2467477811
43528,5486438867
42699,9710583401
43146,4135974895
42740,5962768086
46136,4573063304
43127,8371363645
43678,5500153023
45492,8235927922
43770,3256446936
43187,3571890794
42768,8973482580
44051,5545611055
43578,3159271271
43577,9702252685
44038,9273588750
44523,5922925075
44235,5984532505
46285,8714704781
44632,2433601541
44210,2490159767
46446,3054469465
44861,4774721455
46493,8947079662
46444,5868930925
43971,4108914720
44070,6220900732
43570,2457946855
44071,9689604491
46453,9593851432
43967,4670462597
44534,6923750016
46096,4630060427
43934,5036876695
46205,3158298718
43675,4782506512
44072,8257074884
43928,8015110233
43952,2016291082
44941,1293588663
43629,3780029643
46400,8498307058
44055,2072866274
46552,7378485041
46425,7684378323
46486,9088745106
